Dates;CAC40;MICHELIN;LOREAL;SAFRAN;SODEXO;VIVENDI
01/09/2011;3265.83;50.18;75.46;27.775;52.11;16.7274
02/09/2011;3148.53;47.805;74.37;27.005;51.5;16.2096
05/09/2011;2999.54;45.31;72.52;26.055;49.595;15.5806
06/09/2011;2965.64;44.6;72.08;25.15;50.7;15.0871
07/09/2011;3073.18;46.96;72.7;27.125;52.09;15.5467
08/09/2011;3085.83;46.855;73.83;27.335;52.51;15.5709
09/09/2011;2974.59;45.09;73.04;26.35;51.55;15.5322
12/09/2011;2854.81;43.16;71.7;25.53;50.29;14.9564
13/09/2011;2894.93;44.22;71.66;25.41;50.03;15.0193
14/09/2011;2949.14;46.49;72.65;25.94;50.86;15.1838
15/09/2011;3045.62;48.09;74.66;26.54;51.36;15.3242
16/09/2011;3031.08;48.41;74.4;26.295;51.6;15.2516
19/09/2011;2940;45.525;72.98;25.33;51.16;14.8355
20/09/2011;2984.05;46.635;74.91;25.25;52.25;15.1935
21/09/2011;2935.82;46.085;74.31;24.35;51.75;14.7387
22/09/2011;2781.68;43.25;71.28;23.09;49.925;14.2209
23/09/2011;2810.11;43.06;71.22;22.61;49.065;14.2838
26/09/2011;2859.34;44.295;72.17;23.08;49.27;14.3177
27/09/2011;3023.38;47.87;74.58;23.595;50.12;15.0919
28/09/2011;2995.62;47.205;74.47;23.24;49.695;14.8403
29/09/2011;3027.65;46.895;73.57;24.065;49.8;14.8838
30/09/2011;2981.96;45.21;73.38;23.17;49.585;14.8403
03/10/2011;2926.83;43.415;72.94;23.33;49.43;14.6419
04/10/2011;2850.55;40.73;71.45;21.95;48.675;14.4338
05/10/2011;2973.9;43.62;73.9;23.08;49.105;15.0629
06/10/2011;3075.37;45;75.01;23.965;49.26;15.4306
07/10/2011;3095.56;45.265;75.85;23.96;49.53;15.5032
10/10/2011;3161.47;46.935;77;24.825;50.1;15.7113
11/10/2011;3153.52;46.58;77.09;24.69;50.26;15.629
12/10/2011;3229.76;49.175;77.85;24.79;50.44;16.1322
13/10/2011;3186.94;48.795;77.39;25.23;50.41;15.8371
14/10/2011;3217.89;49.83;78.5;25.46;50.97;16.0064
17/10/2011;3166.06;49.28;79.44;24.69;50.68;15.779
18/10/2011;3141.1;50.65;78.63;24.93;50.8;15.6242
19/10/2011;3157.34;49.49;79.61;25.015;50.77;15.4984
20/10/2011;3084.07;48.535;78.47;24.13;50.42;15.0629
21/10/2011;3171.34;50.84;79.5;22.2;50.96;15.479
24/10/2011;3220.46;52.05;79.77;22.47;51.76;15.929
25/10/2011;3174.29;52.02;78.9;23;51.45;15.4984
26/10/2011;3169.62;52.28;78.55;22.495;51.48;15.4887
27/10/2011;3368.62;54.94;80.46;23.825;52.54;16.5048
28/10/2011;3348.63;55.71;80.31;23.945;52.77;16.2919
31/10/2011;3242.84;52.68;79.81;23.67;52.31;15.7258
01/11/2011;3068.33;49.165;77.78;23.425;51.53;14.9951
02/11/2011;3110.59;50.19;77.42;23.915;51.7;15.1645
03/11/2011;3195.47;51.88;79.38;24.265;52.56;15.4838
04/11/2011;3123.55;50.39;77.83;24.315;52.7;14.9758
07/11/2011;3103.6;50.38;77.41;24.22;52.26;15.2467
08/11/2011;3143.3;50.55;78.04;24.75;53.32;15.4113
09/11/2011;3075.16;48.665;77.43;24.28;52;14.9129
10/11/2011;3064.84;48.81;77.57;22.915;51.88;14.9661
11/11/2011;3149.38;49.885;78.5;23.255;52.49;15.358
14/11/2011;3108.95;48.92;78.19;22.605;51.99;15.3725
15/11/2011;3049.13;47.53;77.56;21.94;50.64;14.9806
16/11/2011;3064.9;46.53;77.75;22.08;50.45;15.8129
17/11/2011;3010.29;45.315;77.33;21.07;50.58;15.3677
18/11/2011;2997.01;44.7;76.98;21.74;50;15.7306
21/11/2011;2894.94;43.09;76.03;20.66;49.305;15.3484
